method,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
FedRep,old_city,60,101,1006,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,657,685,0,0.0,4.5625,0.9591240875912409,-1.0746268206006477,-0.9617326725916643,0.6839519643970214,0.16362252663622534,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5642857142857142,0.03482922467097099,97.06791307041905,0.03479894348883361,0.04489051094890506
FedRep,old_city,60,101,1007,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,654,682,0,0.0,4.541666666666667,0.9589442815249267,-1.0970535037698292,-0.9904856375774306,0.67267292401727,0.1699796126401631,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5361445783132529,0.03613411443314888,96.70713702016924,0.02969047564176086,0.03958944281524923
FedRep,old_city,60,101,1008,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,663,692,0,0.0,4.604166666666667,0.958092485549133,-1.1004036199460345,-0.8918816832940515,0.6924202679447765,0.16968325791855218,0.16666666666666666,0.5,0.6499999999999961,0.8333333333333333,0.8333333333333333,0.7058823529411765,0.04289353131514397,96.47457942157389,0.032809989837554676,0.04118497109826591
FedRep,old_city,60,101,1009,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,656,686,0,0.0,4.555555555555555,0.956268221574344,-1.1505610367533374,-0.9851601516048747,0.6493415286097827,0.18546747967479701,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5476190476190476,0.04249883295326869,94.87324626528348,0.03658547588992778,0.0437317784256559
FedRep,old_city,60,101,1010,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\old_city_final.pth,644,673,0,0.0,4.472222222222222,0.9569093610698366,-1.063996322678962,-0.9198446515442127,0.6705045716073363,0.16304347826086954,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5563063063063063,0.036477555735589626,95.00160333373636,0.03748202653503818,0.047919762258543885
FedRep,new_city,60,101,1001,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,678,706,0,0.0,4.708333333333333,0.9603399433427762,-1.0512102405472996,-1.0603156264070446,0.43071852499329283,0.33726647000983273,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.9999999999999999,1.1666666666666665,0.8784722222222223,0.07332114138311434,59.63559241648305,0.034451172878250835,0.04603399433427757
FedRep,new_city,60,101,1002,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,679,707,0,0.0,4.715277777777778,0.9603960396039604,-1.047818200403326,-1.0703669224624852,0.41990198472216783,0.3382425135002456,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.8564814814814811,0.07099537303141762,59.50040412726801,0.04257388137880924,0.05693069306930698
FedRep,new_city,60,101,1003,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,692,721,0,0.0,4.805555555555555,0.9597780859916782,-1.0535689636542114,-1.0720324301312636,0.42926633629647337,0.33887283236994226,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.8333333333333333,0.9999999999999999,0.8611111111111107,0.06632287849762993,59.75787697184026,0.034672548830323446,0.04750346740638012
FedRep,new_city,60,101,1004,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,684,712,0,0.0,4.75,0.9606741573033708,-1.0472258290397447,-1.074985272787678,0.4265309560600917,0.3338206627680311,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.9999999999999999,0.7076923076923085,0.06676389506362802,59.648499430496905,0.028005664209936665,0.04073033707865159
FedRep,new_city,60,101,1005,checkpoints_paper_core\sparse15_60ev_seed101_fedrep\new_city_final.pth,686,714,0,0.0,4.763888888888889,0.9607843137254902,-1.0382730405476694,-1.0639454798941161,0.4246777865648037,0.33041788143829,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333333,0.9999999999999999,0.715210355987055,0.057733644617086265,59.140471835777,0.026035354406062527,0.04341736694677878
