method,variant,city,load,train_seed,eval_seed,model_path,events,requests,abandoned,abandon_rate,served_per_tick,served_per_request,avg_reward,median_reward,avg_trip_h,avg_queue_h,median_queue_h,p90_queue_h,p95_queue_h,p99_queue_h,max_queue_h,cvar95_queue_h,var_queue_h,avg_fee,load_gini,action_gini
LocalDQN,D,old_city,60,101,1001,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,651,679,0,0.0,4.520833333333333,0.9587628865979382,-0.9999367311401504,-0.9050558973263629,0.6737846415335876,0.14669738863287266,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,0.5355191256830601,0.030579210525694654,96.04140503811963,0.03919667873866928,0.0489690721649485
LocalDQN,D,old_city,60,101,1002,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,652,680,0,0.0,4.527777777777778,0.9588235294117647,-1.0342057718548714,-0.8989929308383844,0.659699676566225,0.15618609406952977,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5599999999999998,0.03674257750260348,95.53898278664435,0.036268937148513425,0.04117647058823537
LocalDQN,D,old_city,60,101,1003,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,664,692,0,0.0,4.611111111111111,0.9595375722543352,-1.021608003472822,-0.9037061151000663,0.6704199356914853,0.15210843373493985,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.9999999999999999,0.5615384615384615,0.034259276060063605,96.15436677374115,0.03551140442723488,0.04407514450867045
LocalDQN,D,old_city,60,101,1004,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,655,683,0,0.0,4.548611111111111,0.95900439238653,-0.9772661315717163,-0.6732135173038779,0.6676142304716336,0.14147582697201028,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5338541666666667,0.03112962855052497,96.22589428296463,0.03228205279308782,0.03916544655929721
LocalDQN,D,old_city,60,101,1005,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,655,685,0,0.0,4.548611111111111,0.9562043795620438,-1.0520462993294595,-0.94199698541989,0.6692039641099865,0.15979643765903326,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5452380952380952,0.034091900886376605,95.76275673213782,0.03473243313477603,0.04562043795620441
LocalDQN,D,old_city,60,101,1006,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,660,688,0,0.0,4.583333333333333,0.9593023255813954,-1.057315474447928,-0.9359836771636401,0.6791533755332613,0.1606060606060608,0.16666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5349794238683127,0.03464340373431289,95.48642436757655,0.0405267963053586,0.050145348837209225
LocalDQN,D,old_city,60,101,1007,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,659,687,0,0.0,4.576388888888889,0.9592430858806404,-0.9944233563723286,-0.6321070572854169,0.6922327187697359,0.14441072331815905,0.0,0.36666666666667425,0.5,0.7366666666666597,0.8333333333333333,0.5808080808080809,0.03659791189984773,95.66494734707273,0.029854274930516622,0.03820960698689957
LocalDQN,D,old_city,60,101,1008,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,672,701,0,0.0,4.666666666666667,0.9586305278174037,-1.0430545525934685,-0.9114731477693833,0.6822497250777813,0.15674603174603194,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333333,0.5572139303482586,0.03445845930964979,95.847189349381,0.03583382779820998,0.04671897289586302
LocalDQN,D,old_city,60,101,1009,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,658,688,0,0.0,4.569444444444445,0.9563953488372093,-1.0723706010503882,-0.9241375921989725,0.6611805881583604,0.16514690982776087,0.16666666666666666,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5576131687242798,0.038160473182784614,95.92220465888052,0.04180610453497269,0.05232558139534893
LocalDQN,D,old_city,60,101,1010,checkpoints_heading_ablation\dqn_heading_D_old_city_60ev_ep100_epsd0p98_seed101\model_final.pth,650,681,0,0.0,4.513888888888889,0.9544787077826725,-1.024025382507413,-0.7357715245442985,0.6710387352686414,0.1525641025641027,0.0,0.5,0.5,0.6666666666666666,0.8333333333333333,0.5572139303482587,0.03539940828402352,96.31949331410239,0.03982308404602919,0.05176211453744495
